id,name,city,salary
101,Reyansh,Chennai,51480
102,Arjun,Jaipur,113725
103,Arjun,Chennai,40112
104,Saanvi,Pune,93239
105,Arjun,Chandigarh,108338
106,Saanvi,Chandigarh,119980
107,Vivaan,Pune,126793
108,Siya,Pune,46528
109,Aditya,Pune,72551
110,Reyansh,Kolkata,55203
111,Om,Chandigarh,82561
112,Navya,Chandigarh,142995
113,Siya,Bangalore,117769
114,Ishaan,Chandigarh,45237
115,Arjun,Bangalore,95084
116,Reyansh,Kolkata,80682
117,Aadhya,Chandigarh,111725
118,Siya,Kolkata,48484
119,Kabir,Hyderabad,64752
120,Diya,Pune,92714
121,Aadhya,Ahmedabad,126439
122,Anaya,Pune,66653
123,Rudra,Hyderabad,30331
124,Riya,Delhi,122145
125,Aarav,Jaipur,107721
126,Aditya,Chennai,71043
127,Aarav,Delhi,121589
128,Sai,Ahmedabad,72301
129,Myra,Kolkata,51548
130,Rudra,Pune,102516
131,Aadhya,Pune,140785
132,Vivaan,Kolkata,106614
133,Ishaan,Bangalore,136278
134,Kabir,Chandigarh,113319
135,Rudra,Chennai,68113
136,Arjun,Bangalore,89706
137,Riya,Mumbai,37158
138,Ishaan,Mumbai,30994
139,Diya,Chennai,107865
140,Riya,Pune,148089
141,Sai,Kolkata,57188
142,Aditya,Mumbai,121644
143,Isha,Chandigarh,143803
144,Myra,Bangalore,146563
145,Riya,Hyderabad,50938
146,Isha,Hyderabad,92266
147,Aarav,Hyderabad,35416
148,Sai,Bangalore,103134
149,Anaya,Jaipur,74506
150,Saanvi,Kolkata,123492
151,Aditya,Jaipur,45246
152,Sai,Chandigarh,47041
153,Arjun,Hyderabad,46986
154,Sai,Delhi,34775
155,Riya,Chennai,83596
156,Om,Pune,96834
157,Siya,Mumbai,46818
158,Riya,Delhi,44101
159,Reyansh,Delhi,83294
160,Aarav,Jaipur,123248
161,Aadhya,Hyderabad,66948
162,Siya,Ahmedabad,67436
163,Rudra,Pune,128940
164,Navya,Chandigarh,44608
165,Arjun,Mumbai,32136
166,Sai,Ahmedabad,137039
167,Mira,Chandigarh,135480
168,Mira,Delhi,35974
169,Saanvi,Chennai,123197
170,Anaya,Bangalore,142798
171,Ishaan,Delhi,103169
172,Ishaan,Chandigarh,51263
173,Om,Hyderabad,141629
174,Aarav,Pune,83626
175,Saanvi,Mumbai,137864
176,Riya,Ahmedabad,84466
177,Reyansh,Kolkata,34180
178,Saanvi,Ahmedabad,38037
179,Vivaan,Chandigarh,35120
180,Ishaan,Ahmedabad,43909
181,Myra,Bangalore,75610
182,Aarav,Chennai,42737
183,Isha,Delhi,54078
184,Kabir,Chennai,148069
185,Arjun,Jaipur,45198
186,Om,Kolkata,111150
187,Diya,Ahmedabad,30159
188,Om,Bangalore,117819
189,Sai,Ahmedabad,146315
190,Saanvi,Ahmedabad,33393
191,Reyansh,Bangalore,120433
192,Anaya,Pune,142008
193,Navya,Chandigarh,30479
194,Diya,Hyderabad,117877
195,Reyansh,Chennai,91168
196,Kabir,Jaipur,106534
197,Kabir,Hyderabad,81113
198,Aarav,Chennai,67290
199,Kabir,Delhi,71339
200,Riya,Delhi,138269
